Game ID,Hebrew Title,English Title,Category,Min Age,Max Age,Rounds,Endless,Difficulty Range,Gameplay Description,Interaction Type,Background/Visual Style,Difficulty Level 1-3,Difficulty Level 4-6,Difficulty Level 7-10,Analytics Collected,What It Teaches The Child,What We Can Learn About The Child,Learning Domain,Motor Skills Required,Cognitive Skills Required,Age 2 Baseline,Age 3 Baseline,Age 4 Baseline,Age 5 Baseline,Notes
sharedsticker,מצא כנייה משותפת,Shared Sticker (Spot It),Visual,3,8,Unlimited,Yes,3-8 stickers/card,"Spot It/Dobble style. Two circular cards show stickers; exactly one matches on both. Child taps the shared sticker. Stickers per card increases over rounds.",Tap,"Two circular cards, stickers in spiral/ring layout, random rotation ±15° per sticker","3-4 stickers per card (rounds 0-3)","5-6 stickers per card (rounds 4-7)","7-8 stickers per card (rounds 8+)","RecordCorrect() per tap, manual confetti every 3 rounds",Visual scanning; speed; attention to detail; comparison,"Visual processing speed; attention to detail; search strategy (systematic vs random); performance under increasing complexity",Visual Perception,Basic tap,Visual scanning; rapid comparison; sustained attention,Not available,Available,Available,Available,Stickers loaded from all sprite sheets in Art/Stickers/
flappybird,ציפור מתעופפת,Flappy Bird,Arcade,4,8,Unlimited,Yes,Fixed,"Bird flies forward, child taps to flap upward. Pipes scroll from right. Hit pipe or ground = game over. Best score tracked. Pre-spawned pipes visible before first tap.",Tap,"Wooden pipes, ground at 16%, bird tilt follows velocity (±30°)",Fixed: gravity -1200; flap 420; pipe speed 250; gap 520px,Same parameters,Same parameters,bestScore tracked in profile progress,Timing; reflexes; persistence; frustration tolerance,"Reaction time; persistence (retry count); frustration handling; timing precision",Timing & Reflexes,Rapid tap timing,Timing; anticipation; persistence,Not available,Not available,Available,Available,Gravity -1200 px/s²; flap strength 420 px/s
simonsays,סימון אומר,Simon Says,Memory,3,8,Unlimited,Yes,1-10 (2-6 steps),"4 colored buttons light up in sequence. Child repeats by tapping in same order. Each successful round adds one color. Endless with best round tracked.",Tap,"Wooden toy board, 4 large buttons (red/yellow/blue/green) with glow overlays, smooth flash animation","Start sequence 2 steps, speed 1.0x","Start sequence 4 steps, speed 1.20x","Start sequence 6 steps, speed 1.40x","Endless best round in profile.progress, bestScore",Sequential memory; pattern recognition; attention; auditory-visual association,"Working memory capacity; sequential recall length; speed of learning; attention span; error patterns",Memory & Sequencing,Basic tap,Sequential memory; pattern recognition; sustained attention,Not available,Available,Available,Available,Step duration adjusted by speed multiplier
patterncopy,העתק דוגמה,Pattern Copy,Patterns,4,8,Unlimited,Yes,1-10 (3×3 to 7×7),"Source grid (left) shows filled pattern. Player grid (right) empty. Child taps cells to toggle ON/OFF. Auto-wins when pattern matches. Hints after 5s inactivity.",Tap,"Two grids side-by-side, cells colored with profile avatar color","3×3 grid, 30% fill density","5×5 grid, 40% fill density","7×7 grid, 60% fill density","SetCustom(""gridSize""), SetCustom(""filledCells""), SetCustom(""correctFilled""), SetCustom(""wrongFilled"")",Visual matching; pattern replication; spatial reasoning; attention to detail,"Pattern recognition accuracy; spatial memory; attention to detail; error rate; strategy (row-by-row vs random)",Patterns & Spatial,Basic tap,Pattern matching; spatial memory; systematic approach,Not available,Not available,3×3 baseline,5×5 baseline,
letters,האות הראשונה,First Letter Game,Hebrew,4,8,5,No,1-10 (word length),"Shows animal image + Hebrew word with missing first letter + 3 answer buttons. Child taps correct first letter. Word announced after 0.5s. 5 rounds.",Tap,"Split screen: right=animal image, left=word tiles (RTL). 3 answer buttons, animated animals, replay button","2-3 letter words only","Up to 4 letter words","All words in bank","RecordCorrect(), SetCustom(""wordLength""), SetCustom(""attemptsThisRound"")",Hebrew alphabet; phonemic awareness; word recognition; letter-sound correspondence,"Letter knowledge (which letters known/unknown); phonemic awareness level; word length comfort; common confusion pairs",Language & Literacy,Basic tap,Letter recognition; phonemic awareness; word reading,Not available,Not available,Up to 4 letters,All words,RTL layout; Hebrew only
numbermaze,מבוך המספרים,Number Maze,Numbers,4,8,Unlimited,Yes,1-10 (5×3 to 7×5),"Grid of numbered tiles. Child taps 1→2→3→...→N following orthogonal adjacent path. Green path line drawn. Auto-wins on completion. Inactivity hints.",Tap,"Grid centered, start cell highlighted, path lines with glow (green #42A038, 80% opacity), staggered bounce-in","5×3 grid, 10 numbers","6×4 grid, 15 numbers","7×5 grid, 20 numbers","SetCustom(""gridCols""), SetCustom(""gridRows""), SetCustom(""pathLength""), SetCustom(""mistakes"")",Number sequencing; path planning; counting; spatial navigation,"Number fluency (speed); path planning ability; counting accuracy; spatial reasoning; error patterns",Numbers & Spatial,Basic tap,Number sequencing; spatial planning; systematic search,Not available,Not available,5×3 10 numbers,6×4 15 numbers,
oddoneout,מצא את השונה,Odd One Out,Visual,2,8,5,No,1-10 (pool size),"4 animals in horizontal row — 3 identical, 1 different. Child taps the odd one. 5 rounds total.",Tap,"4 rounded-rect cards in row, animals with idle animations, pop-in stagger animation","Easy pool: 8 very different animals","Medium pool: 12 animals","All 19 animals (subtle differences)","RecordCorrect(), SetCustom(""difficulty""), SetCustom(""attemptsThisRound"")",Visual discrimination; same/different concept; animal recognition; attention,"Visual discrimination ability; processing speed; attention to detail; which animal pairs are most confused",Visual Perception,Basic tap,Visual discrimination; comparison; categorization,Easy pool,Easy pool,Medium pool,All animals,
numbertrain,רכבת המספרים,Number Train,Numbers,3,8,Unlimited,Yes,1-10 (5-7 wagons),"Train of wagons with numbers scrolls in. Some wagons empty (gray). Child drags missing numbers from palette into correct empty wagons. Train exits on completion.",Drag & Drop,"Train slides in from left, blue filled wagons, gray empty wagons, number palette at bottom","5 wagons, 1 missing","6 wagons, 2 missing","7 wagons, 3 missing","RecordCorrect() per placement, SetCustom(""wagonCount""), SetCustom(""missingCount""), SetCustom(""startNumber"")",Number sequencing; counting; gap-filling; number line concepts,"Number fluency; gap-filling ability; number line understanding; which number ranges are strongest/weakest",Numbers & Sequencing,Fine motor (drag),Number sequencing; gap identification; counting,Not available,5 wagons 1 missing,6 wagons 2 missing,7 wagons 3 missing,
lettertrain,רכבת האותיות,Letter Train,Hebrew,4,8,Unlimited,Yes,1-10 (5-7 wagons),"Train with Hebrew letters (א-ת). Some wagons empty. Child drags missing letters from palette. RTL layout (first letter rightmost). Endless rounds.",Drag & Drop,"Similar to Number Train, purple scheme (#D1C4E9), Hebrew letters, RTL reading order","5 wagons, 2 missing (early alphabet א-ו)","6 wagons, 2 missing (mid alphabet)","7 wagons, 3 missing (any position)","SetCustom(""wagonCount""), SetCustom(""missingCount"")",Hebrew alphabet sequence; letter recognition; RTL reading,"Alphabet knowledge (which sections known); letter recognition speed; RTL reading fluency; common letter confusions",Language & Literacy,Fine motor (drag),Letter sequencing; alphabet knowledge; RTL awareness,Not available,Not available,5 wagons 1 missing,7 wagons 3 missing,22 Hebrew letters (no final forms)
connectmatch,חבר וצייר,Connect & Draw,Patterns,4,8,Unlimited,Yes,1-10 (2×2 to 4×4),"Reference pattern on left (connected dots). Right side: interactive dot grid. Child drags to connect dots in same sequence. Can start from either end. Auto-wins on match.",Drag,"Split screen, dots in profile avatar color, lines with glow effect, live drag line visible","2×2 grid, 3-step path","3×3 grid, 5-step path","4×4 grid, 6-8 step path","SetCustom(""gridSize""), SetCustom(""pathLength""), SetCustom(""mistakes"")",Path sequencing; directional awareness; fine motor control; pattern replication,"Directional awareness; sequential planning; motor control precision; pattern complexity handling",Patterns & Motor,Fine motor (drag path),Sequential logic; directional thinking; path planning,Not available,Not available,2×2 2-step,3×3 3-step,
laundrysorting,מיון כביסה,Laundry Sorting,Categorization,2,8,Unlimited,Yes,Fixed,"Drag clothes into washing machine, fruits into basket. All items must be sorted correctly. Spiral arrangement pattern for spawning.",Drag & Drop,"Split screen: left=washing machine, right=basket, items in middle area",Fixed: 10 clothes + 5 fruits,Same,Same,No explicit stat recording,Categorization; sorting; object recognition; classification,"Classification ability; speed of categorization; error patterns (which items misclassified); conceptual understanding of categories",Categorization,Fine motor (drag),Classification; sorting; category knowledge,Available,Available,Available,Available,
fishing,דיג,Fishing Game,Matching,3,8,5,No,Fixed,"Elroey in boat above water. Speech bubble shows target fish shape. Child taps matching fish swimming below. 5 catches to win. Fishing line animation.",Tap,"Layered sea (sky, clouds, water bands, sand). Elroey with boat, rod tip anchor. 8 shape-based fish.","Fixed: 6 fish on screen, speed 50-100px/s","Same","Same","SetCustom(""totalCatches""), RecordCorrect(""catch""), RecordMistake(""wrong_fish"")",Shape matching; visual tracking; target identification; patience,"Shape recognition accuracy; visual tracking ability; confusion pairs (which shapes are mixed up); reaction speed",Shapes & Matching,Basic tap,Shape recognition; visual tracking; selective attention,Not available,Available,Available,Available,8 fish shapes: circle/diamond/heart/pentagon/rectangle/square/star/triangle
counting,ספירת חיות,Counting Game,Numbers,2,8,Unlimited,Yes,1-10 (1-10 animals),"Shows 1-12 animated animals on screen. Child taps correct count from 3 answer buttons. Counting celebration plays number sounds and highlights each animal.",Tap,"Animals pop in staggered, predefined positions per count, large number during celebration with color coding","Count range 1-3","Count range 3-7","Count range 6-10","RecordCorrect(), SetCustom(""correctAnswer""), SetCustom(""animalCount"")",Counting; number recognition; one-to-one correspondence; subitizing,"Counting fluency; subitizing ability (instant recognition vs counting); number range comfort; which quantities cause errors",Numbers & Counting,Basic tap,Counting; number recognition; estimation,Available,Available,Available,Available,Predefined layout patterns per count (1-12)
